id,customerid,cardname,cardno,expirationmonth,expirationyear
1,1,John Lewis,4916854957639045,August,2024
2,2,Daniel Barnes,6011810914456476,June,2025
3,3,Jeremy Hernandez,5302800651277052,October,2027
4,4,Melissa Kelly,6011057825438249,March,2025
5,5,Rebecca Anderson,5504877611400392,March,2030
6,6,Audrey Cook,4556331797686838,April,2026
7,7,Katherine Mitchell,6011854841550357,October,2027
8,8,David Morgan,4556403614781553,March,2025
9,9,Erin Rogers,4556403614781553,August,2030
10,10,Joshua Bailey,4916022708346118,July,2024
11,11,Charlotte Phillips,4556403614781553,July,2027
12,12,Layla Harris,2720993774965769,October,2025
13,13,Abigail White,6011057825438249,September,2027
14,14,Evelyn Hill,6011854841550357,May,2025
15,15,Abigail Price,5304448137561547,August,2030
16,16,Maria Butler,2221006576113704,September,2026
17,17,Layla Wood,4916854957639045,July,2028
18,18,Jose Collins,4556331797686838,May,2026
19,19,Mateo Henderson,5429978552659566,February,2027
20,20,Richard Young,6011295595263278,August,2025
21,21,Isaac Howard,6011295595263278,February,2030
22,22,Gabriel Harris,6011295595263278,December,2024
23,23,Steven Lee,6011314116955492,September,2027
24,24,Daniel Taylor,6011424222231264,March,2025
25,25,Heather Watson,2221006576113704,March,2028
