id,name,type,capacity,address,city,state,zip,url,contact,phone,email,lastmodified
1,StateFarm Arena,Arena,15590,1 State Farm Dr,Atlanta,GA,30303,https://www.statefarmarena.com/,Oliver Foster,702-379-7743,oliver_joseph_foster@ymail.com,2/22/2020 12:06
2,Gas South Arena,Arena,13000,6400 Sugarloaf Pkwy,Duluth,GA,30097,https://www.gassouthdistrict.com/venues/detail/arena,Melissa Wright,845-534-6152,melissa_grace_wright@aol.com,9/6/2020 2:12
3,Buckhead Theater,Theater,1800,3110 Roswell Rd NE,Atlanta,GA,30305,https://www.thebuckheadtheatre.com/,Kayla Turner,719-040-6560,k.turner@yahoo.com,7/5/2020 2:44
4,Bobby Dodd Stadium,Stadium,55000,177 North Avenue NW,Atlanta,GA,30332,https://ramblinwreck.com/sports/m-footbl/facilities/bobby-dodd-stadium/,Nicholas Diaz,628-899-3953,nicholascharlesdiaz@ymail.com,1/26/2022 16:19
5,Madison Square Garden,Arena,19500,4 Pennsylvania Plaza,New York,NY,10001,https://www.msg.com/madison-square-garden,Jose Long,562-833-2083,j_r_long@hotmail.com,1/14/2019 21:01
6,Allstate Arena,Arena,18500,6920 Mannheim Rd,Rosemont,IL,60018,http://www.allstatearena.com/,Laura Watson,682-062-4150,ll@rocketmail.com,9/19/2020 20:29
7,Capital One Arena,Arena,20356,601 F St NW,Washington,DC,20004,http://www.capitalonearena.com/,Mateo Richardson,269-708-9056,mateo.richardson@live.com,1/7/2022 11:18
8,Tacoma Dome,Arena,21000,2727 E D St,Tacoma,WA,98421,http://www.tacomadome.org/,Kaitlyn Richardson,586-102-3699,kfrichardson@outlook.com,1/1/2020 12:59
9,Rita Hillenbrand Memorial Stadium,Stadium,2956,1700 E 2nd St,Tucson,AZ,85719,https://arizonawildcats.com/sports/2019/2/21/facility-hillenbrand-memorial-stadium.aspx,Tiffany Long,772-862-8259,tiffanylong@rocketmail.com,2/13/2018 20:49
10,Wintrust Field,Stadium,10000,1999 S Springinsguth Rd,Schaumburg,IL,60193,http://www.boomersbaseball.com/,Joshua Bennett,769-659-7341,j.bennett@gmail.com,10/16/2019 17:15
11,Rialto Square Theatre,Theater,1966,102 N Chicago St,Joliet,IL,60432,http://www.rialtosquare.com/,Heather Green,940-493-6914,h.m.green@gmail.com,2/5/2021 3:37
12,Amerant Bank Arena,Arena,20000,1 Panther Pkwy,Sunrise,FL,33323,http://amerantbankarena.com/,Tyler Cox,413-914-0896,t_cox@yahoo.com,5/24/2023 6:18
13,Grossinger Motors Arena,Arena,7000,101 S Madison St,Bloomington,IL,61701,https://www.grossingermotorsarena.com/,Brianna Morris,605-701-7621,brianna_kay_morris83@hotmail.com,4/20/2020 22:09
14,UNO Lakefront Arena,Arena,10000,6801 Franklin Ave,New Orleans,LA,70122,http://arena.uno.edu/,Joshua James,743-038-2693,jdjames@live.com,8/1/2019 22:38
15,Rose Bowl Stadium,Stadium,89702,1001 Rose Bowl Dr,Pasadena,CA,91103,https://www.rosebowlstadium.com/,Nathan Watson,469-244-5926,nathanwatson@yahoo.com,6/19/2018 11:25
